Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1064,740,-1.000,-1.000,-4456449
1,2,1064,732,5.328,0.355,-3605761
1,3,1064,732,0.000,0.000,-4850433
1,4,1064,732,0.000,0.000,-7342090
1,5,1064,732,0.000,0.000,-5637378
1,6,1064,708,15.984,1.066,-6029313
1,7,1064,692,10.656,0.710,-9266275
1,8,1064,692,0.000,0.000,-5180687
1,9,1064,688,2.664,0.178,-8455177
1,10,1060,688,2.664,0.178,-7143425
1,11,1060,688,0.000,0.000,-5571336
1,12,1060,688,0.000,0.000,-3145729
1,13,1060,688,0.000,0.000,-5964547
1,14,1056,684,3.767,0.251,-5179656
1,15,1064,668,11.914,0.794,-5833479
1,16,1072,660,7.535,0.502,-4130052
1,17,1124,656,34.734,2.316,-5458508
1,18,1104,656,13.320,0.888,-4196362
1,19,1104,656,0.000,0.000,-4597288
1,20,1100,660,3.767,0.251,-5373953
1,21,1096,660,2.664,0.178,-5571585
1,22,1088,660,5.328,0.355,-4456449
1,23,1088,660,0.000,0.000,-5049101
1,24,1084,660,2.664,0.178,-6620424
1,25,1084,656,2.664,0.178,-5373953
1,26,1092,676,14.346,0.956,-5113865
1,27,1092,676,0.000,0.000,-4654343
1,28,1088,680,3.767,0.251,-6754579
1,29,1084,684,3.767,0.251,-3276801
1,30,1084,684,0.000,0.000,-4194305
1,31,1084,684,0.000,0.000,-6357764
1,32,1084,692,5.328,0.355,-7030600
1,33,1072,688,8.424,0.562,-5638928
1,34,1072,688,0.000,0.000,-10034721
1,35,1068,684,3.767,0.251,-5702150
1,36,1068,684,0.000,0.000,-6886167
1,37,1068,684,0.000,0.000,-6881798
1,38,1068,684,0.000,0.000,-6030604
1,39,1068,684,0.000,0.000,-5771795
1,40,1068,684,0.000,0.000,-6360852
1,41,1076,688,5.957,0.397,-3604481
1,42,1076,688,0.000,0.000,-5114380
1,43,1072,688,2.664,0.178,-4326919
1,44,1072,688,0.000,0.000,-6423304
1,45,1072,688,0.000,0.000,-5310983
1,46,1072,688,0.000,0.000,-5706517
1,47,1072,696,5.328,0.355,-8847617
1,48,1072,696,0.000,0.000,-6234405
1,49,1076,720,16.204,1.080,-5178120
1,50,1076,728,5.328,0.355,-3932161
1,51,1084,760,21.968,1.465,-5505025
1,52,1092,772,9.605,0.640,-4718594
1,53,1104,792,15.534,1.036,-6162444
1,54,1112,808,11.914,0.794,-5046785
1,55,1128,824,15.070,1.005,-5244674
1,56,1140,836,11.302,0.753,-2883585
1,57,1140,836,0.000,0.000,-4719620
1,58,1140,848,7.992,0.533,-8003104
1,59,1144,848,2.664,0.178,-4849665
1,60,1144,852,2.664,0.178,-6031622
1,61,1160,864,13.320,0.888,-5637127
1,62,1172,872,9.605,0.640,-16762312
1,63,1180,872,5.328,0.355,-6438978
1,64,1188,848,16.849,1.123,-6036507
1,65,1188,844,2.664,0.178,-5525325
1,66,1188,864,13.320,0.888,-5311244
1,67,1188,876,7.992,0.533,-5242881
1,68,1188,876,0.000,0.000,-6166294
1,69,1184,876,2.664,0.178,-6625048
1,70,1184,864,7.992,0.533,-5834760
1,71,1188,864,2.664,0.178,-4982020
1,72,1188,864,0.000,0.000,-6424074
1,73,1200,864,7.992,0.533,-5767170
1,74,1200,864,0.000,0.000,-5636097
1,75,1208,852,9.605,0.640,-7032142
1,76,1208,852,0.000,0.000,-7100504
1,77,1196,840,11.302,0.753,-8876656
1,78,1192,844,3.767,0.251,-5047559
1,79,1188,852,5.957,0.397,-6161155
1,80,1212,872,20.807,1.387,-6562594
1,81,1212,872,0.000,0.000,-5179658
1,82,1212,872,0.000,0.000,-5903120
1,83,1212,864,5.328,0.355,-5769226
1,84,1212,864,0.000,0.000,-6886678
1,85,1212,864,0.000,0.000,-6168093
1,86,1212,864,0.000,0.000,-6227465
1,87,1212,864,0.000,0.000,-5835019
1,88,1212,864,0.000,0.000,-6819602
1,89,1212,868,2.664,0.178,-9116442
1,90,1212,868,0.000,0.000,-6691866
1,91,1220,872,5.957,0.397,-7415332
1,92,1220,872,0.000,0.000,-5638667
1,93,1220,872,0.000,0.000,-6429212
1,94,1220,872,0.000,0.000,-4785929
1,95,1220,884,7.992,0.533,-7415591
1,96,1220,884,0.000,0.000,-6754838
1,97,1216,884,2.664,0.178,-5374727
3,1,972,1112,-1.000,-1.000,-5113865
3,2,972,1112,0.000,0.000,-6957609
3,3,980,1120,7.535,0.502,-6754838
3,4,980,1116,2.664,0.178,-6900043
3,5,980,1112,2.664,0.178,-6707029
3,6,984,1100,8.424,0.562,-5242881
3,7,984,1100,0.000,0.000,-5524041
3,8,988,1096,3.767,0.251,-5392456
3,9,1000,1084,11.302,0.753,-6441545
3,10,1016,1084,10.656,0.710,-10502724
3,11,1020,1084,2.664,0.178,-6182485
3,12,1080,1100,41.356,2.757,-6638665
3,13,1080,1100,0.000,0.000,-6503486
3,14,1080,1100,0.000,0.000,-7432039
3,15,1060,1104,13.584,0.906,-4980737
3,16,1056,1104,2.664,0.178,-4590091
3,17,1048,1080,16.849,1.123,-7098446
3,18,1044,1084,3.767,0.251,-6887196
3,19,1040,1088,3.767,0.251,-6903640
3,20,1040,1084,2.664,0.178,-5648949
3,21,1036,1080,3.767,0.251,-5392458
3,22,1032,1084,3.767,0.251,-6117462
3,23,984,1120,39.960,2.664,-6641496
3,24,984,1120,0.000,0.000,-5376524
3,25,984,1120,0.000,0.000,-5376008
3,26,984,1124,2.664,0.178,-7676710
3,27,984,1124,0.000,0.000,-6165526
3,28,984,1124,0.000,0.000,-5711143
3,29,972,1128,8.424,0.562,-3016961
3,30,968,1124,3.767,0.251,-5112577
3,31,968,1124,0.000,0.000,-5842729
3,32,940,1144,22.917,1.528,-4456964
3,33,940,1144,0.000,0.000,-5636102
3,34,940,1148,2.664,0.178,-7345946
3,35,936,1152,3.767,0.251,-5590864
3,36,928,1164,9.605,0.640,-8617596
3,37,916,1160,8.424,0.562,-4471867
3,38,900,1148,13.320,0.888,-7366505
3,39,888,1172,17.871,1.191,-5969176
3,40,880,1176,5.957,0.397,-3809316
3,41,876,1192,10.984,0.732,-5522755
3,42,876,1192,0.000,0.000,-3484458
3,43,864,1204,11.302,0.753,-6098450
3,44,864,1204,0.000,0.000,-3407873
3,45,864,1208,2.664,0.178,-5575959
3,46,864,1212,2.664,0.178,-4392714
3,47,864,1212,0.000,0.000,-7607831
3,48,864,1212,0.000,0.000,-5903896
3,49,864,1208,2.664,0.178,-5637640
3,50,864,1208,0.000,0.000,-4064001
3,51,864,1208,0.000,0.000,-5575697
3,52,864,1208,0.000,0.000,-6104612
3,53,868,1216,5.957,0.397,-4654343
3,54,872,1216,2.664,0.178,-4587521
3,55,872,1216,0.000,0.000,-4593943
3,56,872,1216,0.000,0.000,-4135193
3,57,876,1220,3.767,0.251,-6106414
3,58,876,1220,0.000,0.000,-5449258
3,59,876,1220,0.000,0.000,-5521987
3,60,872,1228,5.957,0.397,-5650487
3,61,868,1236,5.957,0.397,-4064774
3,62,864,1232,3.767,0.251,-7745847
3,63,860,1232,2.664,0.178,-5970714
3,64,856,1224,5.957,0.397,-6829365
3,65,856,1224,0.000,0.000,-5645602
3,66,856,1224,0.000,0.000,-7279903
3,67,856,1224,0.000,0.000,-6826025
3,68,856,1224,0.000,0.000,-6701120
3,69,856,1220,2.664,0.178,-5853009
3,70,844,1212,9.605,0.640,-7037281
3,71,832,1216,8.424,0.562,-8615800
3,72,780,1228,35.542,2.369,-4466213
3,73,780,1228,0.000,0.000,-6241599
3,74,792,1228,7.992,0.533,-9272188
3,75,796,1220,5.957,0.397,-6491670
3,76,792,1216,3.767,0.251,-4063233
3,77,780,1204,11.302,0.753,-5843238
3,78,776,1208,3.767,0.251,-5508623
3,79,776,1208,0.000,0.000,-4980998
3,80,768,1204,5.957,0.397,-7941424
3,81,768,1204,0.000,0.000,-6497058
3,82,768,1204,0.000,0.000,-7350825
3,83,768,1204,0.000,0.000,-6433837
3,84,768,1204,0.000,0.000,-4594970
3,85,756,1200,8.424,0.562,-2756361
3,86,736,1196,13.584,0.906,-8591895
3,87,736,1192,2.664,0.178,-4658457
3,88,732,1192,2.664,0.178,-5117462
3,89,732,1196,2.664,0.178,-8847365
3,90,732,1196,0.000,0.000,-6623252
3,91,732,1200,2.664,0.178,-4128769
3,92,732,1200,0.000,0.000,-10831429
3,93,736,1204,3.767,0.251,-10829628
3,94,744,1208,5.957,0.397,-5439489
3,95,772,1220,20.288,1.353,-7218730
3,96,748,1216,16.204,1.080,-9254194
3,97,748,1220,2.664,0.178,-7344410
5,1,1104,1176,-1.000,-1.000,-3407873
5,2,1108,1168,5.957,0.397,-6356999
5,3,1112,1160,5.957,0.397,-6428694
5,4,1120,1140,14.346,0.956,-5451302
5,5,1120,1136,2.664,0.178,-6690067
5,6,1128,1136,5.328,0.355,-5702402
5,7,1128,1136,0.000,0.000,-6050645
5,8,1124,1128,5.957,0.397,-6115666
