12;14;18;20;23
0,1742;0,1345;0,1067;0,0476;-0,0577
0,0915;0,1315;0,0327;-0,0068;0,0532
0,2998;0,1479;0,0677;-0,0252;-0,0432
0,2573;0,1618;0,0426;0,0153;-0,02
0,3272;-0,0065;0,0803;0,0413;-0,0527
0,3479;0,1648;0,0038;0,0513;0,0162
0,3931;0,1245;0,0353;0,106;-0,0288
0,3299;0,1763;0,0424;0,0217;0,0278
0,1809;-0,009;0,0077;0,0363;0,0095
0,3612;0,1555;0,0608;0,1254;0,0216
0,3297;0,1011;-0,018;0,086;-0,0046
0,2654;0,0487;-0,0636;0,0763;-0,0292
0,1529;-0,1408;0,0217;0,0495;-0,0015
0,2771;-0,3185;0,0282;0,0231;0,1225
0,2033;-0,165;0,0784;0,0476;0,0676
0,3395;0,06;0,0368;0,0828;0,0349
0,2346;-0,0298;0,0278;0,0755;0,0474
0,4131;0,0303;0,0504;0,0439;-0,0484
0,2631;-0,03;0,0081;0,0819;-0,0259
0,3282;-0,0846;0,004;0,0953;-0,0411
0,386;0,0146;-0,0026;0,0591;-0,024
0,4074;0,142;-0,0116;0,039;
0,3418;0,2203;0,0205;0,1138;
0,3589;0,0081;-0,0623;-0,0367;
0,3767;0,0724;0,0271;0,0695;
0,2455;0,0677;0,0946;-0,0282;
0,1426;0,067;0,0031;;
0,075;-0,0396;-0,043;;
0,1141;0,0704;0,0336;;
0,1237;-0,0565;-0,0121;;
0,3072;-0,0707;0,0112;;
0,2086;-0,0431;0,0334;;
0,2267;-0,1408;0,0121;;
0,1794;0,1672;0,0958;;
0,2825;-0,1088;0,0352;;
0,2564;-0,3241;0,0671;;
0,2809;-0,1854;0,0858;;
0,1414;0,0248;0,0629;;
0,2295;-0,0739;0,0338;;
0,2263;-0,2519;0,0498;;
0,1651;-0,0457;0,0393;;
0,2994;-0,1698;0,0349;;
0,1702;-0,346;-0,0049;;
0,2845;-0,0554;0,0107;;
0,3179;-0,0393;-0,0018;;
0,1358;0,175;0,0133;;
0,2387;-0,0813;0,0327;;
0,2299;-0,0734;0,05;;
0,2613;0,0072;-0,0378;;
0,2725;;0,0106;;
;;0,0596;;
;;0,0103;;
;;0,0955;;
;;0,0733;;
;;0,0559;;
;;0,0502;;
;;0,0699;;
;;-0,019;;
;;0,0523;;
;;0,0693;;
