Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1432,1000,-1.000,-1.000,-5636098
1,2,1440,1012,9.615,0.641,-5179660
1,3,1440,988,16.000,1.067,-5373953
1,4,1420,1012,20.827,1.388,-6095107
1,5,1440,996,17.075,1.138,-6161926
1,6,1432,984,9.615,0.641,-4653057
1,7,1448,968,15.085,1.006,-7734538
1,8,1448,968,0.000,0.000,-6161165
1,9,1448,964,2.667,0.178,-6422530
1,10,1448,964,0.000,0.000,-5309185
1,11,1440,980,11.926,0.795,-7761770
1,12,1456,964,15.085,1.006,-5767684
1,13,1460,960,3.771,0.251,-6029313
1,14,1468,948,9.615,0.641,-9568258
1,15,1472,940,5.963,0.398,-3670017
1,16,1480,932,7.542,0.503,-5702404
1,17,1480,932,0.000,0.000,-5701893
1,18,1480,932,0.000,0.000,-5636097
1,19,1484,920,8.433,0.562,-5701639
1,20,1488,916,3.771,0.251,-5964033
1,21,1504,904,13.333,0.889,-5963777
1,22,1504,904,0.000,0.000,-7361107
1,23,1508,904,2.667,0.178,-8731967
1,24,1508,904,0.000,0.000,-7357249
1,25,1524,912,11.926,0.795,-9830913
1,26,1524,912,0.000,0.000,-983041
1,27,1528,912,2.667,0.178,-2883585
1,28,1532,912,2.667,0.178,-2359297
1,29,1532,912,0.000,0.000,-3735553
1,30,1532,912,0.000,0.000,-8519681
1,31,1532,912,0.000,0.000,-4458247
1,32,1532,912,0.000,0.000,-7078405
1,33,1532,912,0.000,0.000,-6815745
1,34,1532,912,0.000,0.000,-7406854
1,35,1532,912,0.000,0.000,-5965827
1,36,1532,912,0.000,0.000,-5833729
1,37,1532,912,0.000,0.000,-6291972
1,38,1532,916,2.667,0.178,-6357002
1,39,1532,916,0.000,0.000,-5046273
1,40,1540,912,5.963,0.398,-4259847
1,41,1540,912,0.000,0.000,-6357505
1,42,1556,916,10.995,0.733,-5177345
1,43,1556,916,0.000,0.000,-5375747
1,44,1552,920,3.771,0.251,-5374209
1,45,1548,924,3.771,0.251,-5570561
1,46,1536,932,9.615,0.641,-4982279
1,47,1524,940,9.615,0.641,-3670785
1,48,1524,940,0.000,0.000,-3735553
1,49,1524,940,0.000,0.000,-5374727
1,50,1524,932,5.333,0.356,-5243137
1,51,1516,932,5.333,0.356,-5964547
1,52,1476,936,26.800,1.787,-5984592
1,53,1504,932,18.856,1.257,-6554114
1,54,1504,932,0.000,0.000,-10879241
1,55,1504,932,0.000,0.000,-6095619
1,56,1504,932,0.000,0.000,-2621697
1,57,1504,932,0.000,0.000,-7409423
