12;14;18;20;23;26
0,248;0,312;0,606;0,418;0,417;0,635
0,235;0,381;0,313;0,313;0,541;0,51
0,405;0,3;0,255;0,327;0,468;0,585
0,398;0,095;0,245;0,146;0,5;0,432
0,307;0,289;0,33;0,472;0,881;0,439
0,424;0,279;0,246;0,47;0,634;0,656
0,487;0,205;0,454;0,277;0,327;0,199
0,515;0,251;0,434;0,491;0,308;0,559
0,322;0,559;0,347;0,617;0,448;0,314
0,277;0,393;0,28;0,384;0,436;0,51
0,28;0,117;0,216;0,435;0,629;0,4
0,466;0,155;0,283;0,379;0,492;0,573
0,317;0,269;0,171;0,257;0,419;0,564
0,344;0,206;0,512;0,306;0,278;0,4
0,489;0,53;0,344;0,425;0,802;0,392
0,345;0,552;0,281;0,492;0,324;0,214
0,212;0,249;0,437;0,295;0,518;0,425
0,416;0,29;0,589;0,357;0,478;0,624
0,163;0,146;0,287;0,705;0,33;0,388
0,51;0,5;0,221;0,765;0,414;0,495
0,343;0,176;0,366;0,458;0,404;
0,18;0,231;0,188;0,632;0,39;
0,354;0,376;0,321;0,581;0,434;
0,259;0,616;0,486;0,642;0,427;
0,187;0,294;0,249;0,649;0,523;
0,262;0,402;0,466;0,596;0,493;
0,336;0,29;0,478;0,216;0,401;
0,188;0,335;0,098;0,332;0,419;
0,245;0,455;0,41;0,324;0,373;
0,245;0,345;0,257;0,152;0,476;
0,218;0,278;0,516;0,363;0,381;
0,292;0,307;0,399;0,413;0,275;
0,252;0,249;0,247;0,364;0,344;
0,208;0,354;0,366;0,503;0,477;
0,412;0,35;0,353;0,231;0,533;
0,338;0,133;0,309;0,301;0,306;
0,213;0,419;0,306;0,247;0,248;
0,348;0,247;0,447;0,502;0,458;
0,244;0,34;0,399;0,417;0,478;
0,364;0,205;0,307;0,541;0,44;
